Gemeinde_name,Playground_count,Playground_per_1000,berlin_children_0_14_Kinder_0_14
Reinickendorf,356,9.20848422141749,38660
Charlottenburg-Wilmersdorf,267,6.86463555726957,38895
Treptow-Köpenick,418,9.94740724875657,42021
Pankow,469,7.80327105136183,60103
Neukölln,384,8.55710306406685,44875
Lichtenberg,408,8.66039778395704,47111
Marzahn-Hellersdorf,576,12.5857623563344,45766
Spandau,261,6.52630526105221,39992
Steglitz-Zehlendorf,276,7.03489409425739,39233
Mitte,425,8.67825128131828,48973
Friedrichshain-Kreuzberg,293,8.11117570522936,36123
Tempelhof-Schöneberg,318,6.80461344232127,46733
